"","Site","Month","Transect","Species","Abundance","Observation"
"1","Reef1","January",1,"RedFish",4,1
"2","Reef1","January",1,"BlueFish",5,2
"3","Reef1","January",1,"BlackFish",10,3
"4","Reef1","January",2,"RedFish",42,4
"5","Reef1","January",2,"BlueFish",13,5
"6","Reef1","January",3,"RedFish",3,6
"7","Reef1","January",3,"BlackFish",8,7
"8","Reef2","January",1,"RedFish",5,8
"9","Reef2","January",1,"BlackFish",72,9
"10","Reef2","January",2,"BlueFish",9,10
"11","Reef2","January",3,"RedFish",24,11
"12","Reef2","January",3,"BlueFish",101,12
"13","Reef2","January",3,"BlackFish",65,13
"14","Reef1","February",1,"RedFish",52,14
"15","Reef1","February",1,"BlueFish",12,15
"16","Reef1","February",1,"BlackFish",47,16
"17","Reef1","February",2,"BlueFish",3,17
"18","Reef1","February",2,"BlackFish",69,18
"19","Reef1","February",3,"RedFish",8,19
"20","Reef2","February",1,"BlackFish",25,20
"21","Reef2","February",2,"RedFish",3,21
"22","Reef2","February",2,"BlueFish",22,22
"23","Reef2","February",2,"BlackFish",10,23
"24","Reef2","February",3,"RedFish",15,24
"25","Reef2","February",3,"BlueFish",84,25
"26","Reef2","February",3,"BlackFish",7,26
